nome_empresa,cidade,segmento,servico_potencial,canal_contato,anuncio_analisado,problema_observado,prioridade,status,fonte
"Hello Bertioga",Bertioga,Administrador temporada,"Fotografia, Edição, Combo",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária de aluguéis por temporada com contato público. Aguardando verificação do anúncio.",Alta,Novo,Indicação humana
"Quinta Prime",Bertioga,Gestão Airbnb,"Edição, Combo, Recorrência",Público (site/redes),Pendente primeira análise,"Potencial: gestão de Airbnb com otimização declarada. Atende Centro, Riviera, Maitinga e Indaiá. Aguardando verificação do anúncio.",Alta,Novo,Indicação humana
"CASA Home Management","São Sebastião, Juquehy",Coanfitrião,"Fotografia, Edição, Combo",Público (site/redes),Pendente primeira análise,"Potencial: coanfitriã no Litoral Norte. Atua em Juquehy/São Sebastião. Aguardando verificação do anúncio.",Alta,PRONTO_PARA_ABORDAGEM_HUMANA,Indicação humana
"Rivino Invest",Bertioga,Administrador portais,"Edição, Combo, Recorrência",Público (site/redes),Pendente primeira análise,"Potencial: administra imóveis nos principais portais, incluindo Airbnb, Booking e VRBO. Encaixe direto com a oferta.",Alta,Novo,Indicação humana
"Riviera Temporada (João Ranzani)",Bertioga,Administrador temporada,"Fotografia, Edição, Combo",Público (site/redes),Pendente primeira análise,"Potencial: locação temporária específica na Riviera/Bertioga com contato público. Aguardando verificação do anúncio.",Alta,PRONTO_PARA_ABORDAGEM_HUMANA,Indicação humana
"Look Imóveis","São Sebastião",Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"HTS imóveis","São Sebastião",Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"Padrão Empreendimentos Imobiliários","São Sebastião",Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"Modesti Imóveis","São Sebastião",Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"Litoral Norte Homes","São Sebastião",Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária em São Sebastião. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"Tiago Sá Riviera",Bertioga,Imobiliária/consultoria,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: atuação na Riviera de São Lourenço. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"SIV - Sistema Integrado de Vendas da Riviera de São Lourenço",Bertioga,Imobiliária/plataforma,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: sistema de vendas da Riviera, pode ter inventário de temporada. Aguardando verificação.",Média,Novo,Indicação humana
"AMG Riviera",Bertioga,Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária na Riviera. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"SEGUETTE Riviera",Bertioga,Imobiliária,"Fotografia, Edição",Público (site/redes),Pendente primeira análise,"Potencial: imobiliária na Riviera. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
"Pontes Riviera Consultoria Imobiliária",Bertioga,Consultoria/imobiliária,"Fotografia, Edição, Combo",Público (site/redes),Pendente primeira análise,"Potencial: inventário específico de temporada na Riviera. Aguardando verificação dos anúncios.",Média,Novo,Indicação humana
