URL,CLUSTER,SCHEMA,EXPECTED_SCHEMA,STATUS,EVIDENCE
imoveis/apartamento-1-quartos-bertioga.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-guaruja.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-itanhaem.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-mongagua.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-peruibe.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-praia-grande.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-santos.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-1-quartos-sao-vicente.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-bertioga.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-guaruja.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-itanhaem.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-mongagua.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-peruibe.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-praia-grande.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-santos.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-2-quartos-sao-vicente.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-bertioga.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-guaruja.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-itanhaem.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-mongagua.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-peruibe.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
imoveis/apartamento-3-quartos-praia-grande.html,imoveis,"RealEstateListing,Article,FAQPage,BreadcrumbList",RealEstateListing,SCHEMA_OK,valid
