nome,email,cidade,imovel_url,fonte,data_captura,status,ultimo_contato,proxima_acao,observacoes
Barra Norte Imoveis,contato@barranorte.com,Praia Grande,https://acarolmourad-commits.github.io/praia-digital/imoveis/imovel-0250.html,site,2026-07-12,novo,,follow-up 3 dias,
Alpha Imoveis Site,contato@alphaimoveis.com,Bertioga,https://acarolmourad-commits.github.io/praia-digital/imoveis/imovel-0255.html,site,2026-07-12,novo,,follow-up 3 dias,
Lead 31-1,lead311@example.com,Cananéia,/praia-digital/imoveis/imovel-0288.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 31,31,/praia-digital/ferramentas-gratuitas/imobiliarias/onboarding-rapido-parceiros-praia-digital-2026.html
Lead 31-2,lead312@example.com,São Sebastião,/praia-digital/imoveis/imovel-0289.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 31,31,/praia-digital/ferramentas-gratuitas/imobiliarias/orcamento-temporada-litoral.html
Lead 32-1,lead321@example.com,Cananéia,/praia-digital/imoveis/imovel-0288.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 3,Lote 32,32,/praia-digital/ferramentas-gratuitas/imobiliarias/checklist-documentacao-imoveis-litoral.html
Lead 32-2,lead322@example.com,São Sebastião,/praia-digital/imoveis/imovel-0289.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 3,Lote 32,32,/praia-digital/ferramentas-gratuitas/imobiliarias/checklist-captacao-imoveis-litoral.html
Lead 33-1,lead331@example.com,Cananéia,/praia-digital/imoveis/imovel-0288.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 33,33,/praia-digital/ferramentas-gratuitas/imobiliarias/roteiro-visita-automatico-litoral.html
Lead 33-2,lead332@example.com,São Sebastião,/praia-digital/imoveis/imovel-0289.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 33,33,/praia-digital/ferramentas-gratuitas/imobiliarias/gerador-descricao-ia.html
Lead 34-1,lead341@example.com,Cananéia,/praia-digital/imoveis/imovel-0288.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 3,Lote 34,34,/praia-digital/ferramentas-gratuitas/imobiliarias/comparar-imoveis-litoral.html
Lead 34-2,lead342@example.com,São Sebastião,/praia-digital/imoveis/imovel-0289.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 3,Lote 34,34,/praia-digital/ferramentas-gratuitas/imobiliarias/avaliacao-preco-mercado-litoral.html
Lead 35-1,lead351@example.com,Cananéia,/praia-digital/imoveis/imovel-0288.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 35,35,/praia-digital/ferramentas-gratuitas/imobiliarias/guia-aluguel-temporada-litoral.html
Lead 35-2,lead352@example.com,São Sebastião,/praia-digital/imoveis/imovel-0289.html,lote,2026-07-12T05:30:21.243980,novo,,follow-up 7,Lote 35,35,/praia-digital/ferramentas-gratuitas/imobiliarias/pre-qualificacao-leads-litoral.html
